City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,banff,51.1762,-115.5698,-7.43,79,100,3.6,CA,1675260344
302,rio verde de mato grosso,-18.9181,-54.8442,26.7,75,87,2.75,BR,1675260345
303,lavrentiya,65.5833,-171.0,-10.74,96,97,1.0,RU,1675260345
304,havelock,34.8791,-76.9013,13.3,89,100,4.12,US,1675259950
305,labrea,-7.2586,-64.7981,26.93,77,91,1.25,BR,1675260346
306,torbay,47.6666,-52.7314,-7.01,82,75,7.72,CA,1675259953
307,bucerias,20.75,-105.3333,17.77,86,100,1.5,MX,1675260117
308,mogadishu,2.0371,45.3438,27.93,74,20,6.69,SO,1675260348
309,batavia,41.85,-88.3126,-11.16,75,0,3.09,US,1675260228
310,paamiut,61.994,-49.6678,-12.49,73,14,5.13,GL,1675259882
311,san jeronimo,-11.9472,-75.2829,10.63,82,100,1.34,PE,1675260349
312,saldanha,-33.0117,17.9442,26.03,75,30,7.84,ZA,1675259982
313,ulladulla,-35.35,150.4667,18.92,86,100,1.02,AU,1675260350
314,hovd,48.0056,91.6419,-17.11,90,100,0.57,MN,1675260350
315,kalmunai,7.4167,81.8167,25.03,81,99,7.41,LK,1675260351
316,vila franca do campo,37.7167,-25.4333,15.23,65,10,3.88,PT,1675260352
317,namikupa,-10.8333,39.6,26.1,83,98,2.57,TZ,1675260352
318,dhidhdhoo,6.8833,73.1,26.8,76,100,6.16,MV,1675260353
319,lorengau,-2.0226,147.2712,27.6,79,100,4.28,PG,1675259908
320,muhos,64.808,25.9931,-3.12,99,81,1.4,FI,1675260354
321,nusaybin,37.0778,41.2178,8.77,81,75,5.14,TR,1675260354
322,tigil,57.8,158.6667,-24.47,98,50,2.02,RU,1675260355
323,tual,-5.6667,132.75,28.26,78,99,5.02,ID,1675260355
324,anloga,5.7947,0.8973,29.23,65,4,4.62,GH,1675260356
325,guntakal,15.1667,77.3833,26.98,39,28,2.93,IN,1675260357
326,portmore,17.9702,-76.8672,28.92,70,20,1.54,JM,1675259767
327,adrar,20.5022,-10.0711,24.45,7,99,3.81,MR,1675260357
328,aklavik,68.2191,-135.0107,-35.08,100,100,2.84,CA,1675259868
329,nantucket,41.2835,-70.0995,-0.94,87,100,5.14,US,1675260065
330,galesong,-5.3166,119.3661,24.01,83,93,2.38,ID,1675260359
331,marystown,47.1666,-55.1483,-9.04,63,9,5.83,CA,1675260359
332,kieta,-6.2167,155.6333,25.54,88,100,1.75,PG,1675260360
333,saint-francois,46.4154,3.9054,6.69,75,100,4.63,FR,1675260360
334,xiongyue,40.1774,122.1228,-5.43,51,0,4.42,CN,1675260362
335,lahij,13.1667,44.5833,24.46,50,5,5.91,YE,1675260364
336,robertsport,6.7533,-11.3686,27.7,73,2,4.7,LR,1675260365
337,mutuipe,-13.2286,-39.5047,31.11,45,45,2.93,BR,1675260367
338,erenhot,43.6475,111.9767,-11.86,32,5,1.97,CN,1675260370
339,poum,-20.2333,164.0167,26.18,61,98,2.96,NC,1675260371
340,ostrovnoy,68.0531,39.5131,-7.09,91,98,7.8,RU,1675259895
341,kidal,18.4411,1.4078,29.77,5,83,2.92,ML,1675260374
342,ouesso,1.6136,16.0517,32.95,37,77,0.81,CG,1675260375
343,almazar,40.3217,69.0106,5.19,64,100,9.35,UZ,1675260376
344,erzin,36.9559,36.2,9.01,77,100,2.95,TR,1675260378
345,bar harbor,44.3876,-68.2039,-9.49,62,0,2.06,US,1675260379
346,arcachon,44.5875,-1.0519,12.18,58,75,2.06,FR,1675260380
347,los llanos de aridane,28.6585,-17.9182,17.86,75,40,3.09,ES,1675260381
348,piacabucu,-10.4056,-36.4344,30.0,57,47,4.45,BR,1675260384
349,yuci,37.6803,112.7319,-1.14,17,0,4.0,CN,1675260385
350,haapiti,-17.5667,-149.8667,24.84,71,7,7.66,PF,1675260386
351,tabuk,17.4189,121.4443,21.68,91,20,0.75,PH,1675260388
352,vanimo,-2.6741,141.3028,25.75,83,98,0.43,PG,1675260389
353,belmonte,-15.8631,-38.8828,28.97,56,11,2.89,BR,1675260390
354,zalantun,48.0,122.7167,-17.31,71,0,3.86,CN,1675260392
