end_station_name,zipcode
Ave A & E 14 St,10009
Murray St\t& West St,10282
10 Ave & W 14 St,10019
Graham Ave & Conselyea St,11211
7 Ave & 41 St,11232
Prospect Pl & Underhill Ave,11238
Nagle Ave & Ellwood St,10040
3 Ave & E 100 St,10029
W 145 St & Amsterdam Ave,10031
McGuinness Blvd & Eagle St,11109
Beck St & Leggett Ave,10459
48 Ave & 37 St,11377
Carroll St & 5 Ave,11215
E 44 St & Lexington Ave,10017
Myrtle Ave & Lewis Ave,11206
E 160 St & Tinton Ave,10456
Water St &  Fletcher St,10004
Lenox Ave & W 115 St,10037
Broadway & W 160 St,10032
Anthony Ave & E Tremont Ave,10457
Hart St & Wyckoff Ave,11237
5 Ave & E 103 St,10029
6 Ave & W 45 St,10019
Willoughby Ave & Tompkins Ave,11221
E 102 St & 1 Ave,10029
Knickerbocker Ave & George St,11237
Central Ave & Woodbine St,11221
Riverside Dr & W 91 St,10024
Underhill Ave & Pacific St,11238
Broadway & E 21 St,10010
Ditmars Blvd & 76 St,11370
2 Ave & E 104 St,10029
W 30 St & 8 Ave,10001
Adam Clayton Powell Blvd & W 115 St,10026
E 78 St & 2 Ave,10021
Hancock St & Bedford Ave,11233
W 56 St & 8 Ave,10019
7 Ave & Park Pl,11217
W 90 St & Amsterdam Ave,10024
Norman St & Wyckoff Ave,11385
Sherman Ave & Thayer St,10040
31 St & Northern Blvd,11101
E Fordham Rd & Webster Ave,10458
Bergen St & 4 Ave,11217
Rivington St & Ridge St,10002
E 33 St & 5 Ave,10016
4 Ave & 3 St,11209
E 33 St & 1 Ave,10016
5 Av & W 139 St,10037
W 107 St & Columbus Ave,10025
35 St & 34 Ave,11106
Nassau St & Navy St,11251
E 103 St & Lexington Ave,10029
6 Ave & 21 St,11215
Lexington Ave & E 120 St,10035
Broadway & W 165 St,10032
Columbia Heights & Cranberry St,11201
Goble Pl & Macombs Rd,10452
W 15 St & 7 Ave,10011
Picnic Point,10004
Greene Ave & Grandview Ave,11237
Kent Ave & S 11 St,11249
Prospect Park SW & Greenwood Ave,11218
Marcy Ave & Lafayette Ave,11216
East End Ave & E 86 St,10028
Degraw St & Smith St,11217
Fulton St & Waverly Ave,11207
